id,name,number_of_seasons,number_of_episodes,original_language,vote_count,vote_average,adult,first_air_date,last_air_date,in_production,original_name,popularity,type,status,genres,created_by,languages,networks,origin_country,spoken_languages,production_companies,production_countries,episode_run_time
1396,Breaking Bad,5,62,en,12398,8.89,FALSE,1/20/08,9/29/13,FALSE,Breaking Bad,247.632,Scripted,Ended,"Drama, Crime",Vince Gilligan,"en, de, es",netflix,US,"English, Deutsch, Español","Sony Pictures Television Studios, High Bridge Productions, Gran Via Productions",United States of America,0
1424,Orange Is the New Black,7,91,en,2222,7.688,False,7/11/13,7/26/19,False,Orange Is the New Black,103.656,Scripted,Ended,Comedy,Jenji Kohan,en,netflix,US,English,"Lionsgate Television, Tilted Productions",United States of America,60
456,The Simpsons,35,762,en,9136,7.999,False,12/17/89,10/1/23,True,The Simpsons,439.488,Scripted,Returning Series,Animation,Matt Groening,en,fox,US,English,"Gracie Films, 20th Century Fox Television, 20th Television Animation, 20th Television",United States of America,22
1973,24,9,204,en,1330,7.792,False,11/6/01,7/14/14,False,24,146.589,Scripted,Ended,Action & Adventure,"Robert Cochran, Joel Surnow",en,fox,US,English,"Imagine Television, 20th Century Fox Television, Teakwood Lane Productions",United States of America,45
61733,Empire,6,102,en,697,7.184,False,1/7/15,4/21/20,False,Empire,52.076,Scripted,Ended,Drama,"Lee Daniels, Danny Strong",en,fox,US,English,"20th Century Fox Television, Imagine Television, Lee Daniels Entertainment, Little Chicken Productions, Anthony Hemingway Productions",United States of America,43
4610,Hannah Montana,4,99,en,596,7.213,FALSE,3/24/06,1/16/11,FALSE,Hannah Montana,32.847,Scripted,Ended,"Comedy, Kids","Rich Correll, Barry O'Brien, Michael Poryes",en,disney+,US,English,"Michael Poryes Productions, It's a Laugh Productions",United States of America,23
82856,The Mandalorian,3,24,en,9353,8.5,False,11/12/19,4/19/23,True,The Mandalorian,154.48,Scripted,Returning Series,Sci-Fi & Fantasy,Jon Favreau,en,disney+,US,English,"Lucasfilm Ltd., Golem Creations, Fairview Entertainment",United States of America,0
3452,Frasier,11,264,en,666,7.7,FALSE,9/16/93,5/13/04,FALSE,Frasier,111.781,Scripted,Ended,Comedy,"David Clark Lee, Peter Casey, David Angell",en,cbs,US,English,"Grammnet Productions, Grub Street Productions, Paramount Television Studios",,24
14658,Survivor,45,656,en,347,7.4,False,5/31/00,9/27/23,True,Survivor,92.385,Reality,Returning Series,Reality,"Mark Burnett, Charlie Parsons",en,cbs,US,English,"Mark Burnett Productions, MGM Television, Castaway Television Productions Ltd., CBS Studios, CBS Eye Productions, Survivor Productions, One Three Media, United Artists Media Group","United Kingdom, United States of America",42
1418,The Big Bang Theory,12,279,en,10322,7.879,False,9/24/07,5/16/19,False,The Big Bang Theory,344.121,Scripted,Ended,Comedy,"Chuck Lorre, Bill Prady",en,cbs,US,English,"Chuck Lorre Productions, Warner Bros. Television",United States of America,22
70796,The Marvelous Mrs. Maisel,5,43,en,639,8.1,False,3/16/17,5/25/23,False,The Marvelous Mrs. Maisel,33.129,Scripted,Ended,Comedy,Amy Sherman-Palladino,en,prime video,US,English,"Picrow, Dorothy Parker Drank Here Productions, Amazon Studios",United States of America,0
76479,The Boys,4,32,en,8721,8.474,False,7/25/19,7/7/22,True,The Boys,256.856,Scripted,Returning Series,Sci-Fi & Fantasy,Eric Kripke,en,prime video,US,English,"Amazon Studios, Original Film, Sony Pictures Television Studios, Kripke Enterprises, Point Grey Pictures, Kickstart, NightSky Productions",United States of America,60
1668,Friends,10,228,en,7192,8.444,False,9/22/94,5/6/04,False,Friends,214.333,Scripted,Ended,Comedy,"Marta Kauffman, David Crane",en,nbc,US,English,"Warner Bros. Television, Bright/Kauffman/Crane Productions",United States of America,25
2316,The Office,9,186,en,3443,8.587,False,3/24/05,5/16/13,False,The Office,179.677,Scripted,Ended,Comedy,"Ricky Gervais, Stephen Merchant, Greg Daniels",en,nbc,US,English,,United States of America,0
67136,This Is Us,6,105,en,1310,8.25,False,9/20/16,5/24/22,False,This Is Us,783.85,Scripted,Ended,Comedy,Dan Fogelman,en,nbc,US,English,"20th Century Fox Television, Rhode Island Ave. Productions, Zaftig Films, 20th Television",United States of America,43
4607,Lost,6,118,en,3659,7.961,FALSE,9/22/04,5/23/10,FALSE,Lost,145.625,Scripted,Ended,"Mystery, Action & Adventure","J.J. Abrams, Damon Lindelof, Jeffrey Lieber",en,hulu,US,English,"ABC Studios, Bad Robot",United States of America,0
69478,The Handmaid's Tale,5,56,en,2457,8.2,False,4/26/17,11/9/22,True,The Handmaid's Tale,684.333,Scripted,Returning Series,Drama,Bruce Miller,en,hulu,US,English,"MGM Television, White Oak Pictures, Daniel Wilson Productions Inc.","Canada, United States of America",50
